,0,1
72,https://finance.naver.com//news/news_read.naver?article_id=0002451804&office_id=030&mode=search&query=케티&page=4,"무디스·S&P·피치, 북한 리스크에도 “한국 국가신용등급 유지”"
73,https://finance.naver.com//news/news_read.naver?article_id=0002451461&office_id=030&mode=search&query=케티&page=4,공정위 “시중은행 CD금리 담합 있었다”…6개 은행에 심사보고서 송부
74,https://finance.naver.com//news/news_read.naver?article_id=0002451322&office_id=030&mode=search&query=케티&page=4,‘미니 코스피200 선물·옵션’도 파생상품 양도소득세 과세대상 포함
75,https://finance.naver.com//news/news_read.naver?article_id=0002451279&office_id=030&mode=search&query=케티&page=4,"공정위, 공공기관부터 ‘하도급대금 직접지급’ 확산…인센티브·관리시스템 마련이 해결..."
76,https://finance.naver.com//news/news_read.naver?article_id=0002450932&office_id=030&mode=search&query=케티&page=4,‘중간금융지주회사’ 도입 요원한데…4년째 공수표 날린 공정위
77,https://finance.naver.com//news/news_read.naver?article_id=0002450598&office_id=030&mode=search&query=케티&page=4,기재부 “내수 흐름 양호하지만 대외 리스크 확대”
78,https://finance.naver.com//news/news_read.naver?article_id=0002450596&office_id=030&mode=search&query=케티&page=4,"해외직접투자, 4년만에 반등…400억달러대 회복"
79,https://finance.naver.com//news/news_read.naver?article_id=0002450172&office_id=030&mode=search&query=케티&page=4,50조 국고보조금 관리시스템 구축사업자에 아이티센 선정
80,https://finance.naver.com//news/news_read.naver?article_id=0000555267&office_id=214&mode=search&query=케티&page=5,벌써 크리스마스 세일? 美 유통가 '700조 시장' 전쟁
81,https://finance.naver.com//news/news_read.naver?article_id=0002449666&office_id=030&mode=search&query=케티&page=5,‘저물가’라면서…설 앞두고 장 본 시민들 ‘한숨’
82,https://finance.naver.com//news/news_read.naver?article_id=0002448114&office_id=030&mode=search&query=케티&page=5,"공정거래협약 평가, ‘이행실적 절대치’ ‘대금지급 신속성’ 반영"
83,https://finance.naver.com//news/news_read.naver?article_id=0002447323&office_id=030&mode=search&query=케티&page=5,[해설]중국에 등장하는 `애플 요기요` `애플 택시`...전장은 `온라인 커머스`
84,https://finance.naver.com//news/news_read.naver?article_id=0002447260&office_id=030&mode=search&query=케티&page=5,"[기자수첩]난립하는 핀테크협의체, 꾼(?)들 놀이터 막아야"
85,https://finance.naver.com//news/news_read.naver?article_id=0002446889&office_id=030&mode=search&query=케티&page=5,"국가채무, 2월 5일 600조원 돌파…19개월만에 100조원 늘어"
86,https://finance.naver.com//news/news_read.naver?article_id=0002446814&office_id=030&mode=search&query=케티&page=5,"공정위, 담합 가담 직원 ‘승진제한·감봉’ 추진…ICT 전담팀은 올해도 지속"
87,https://finance.naver.com//news/news_read.naver?article_id=0002446346&office_id=030&mode=search&query=케티&page=5,"작년 12월 산업생산, 3개월만에 반등…소비는 2개월 연속 줄어"
88,https://finance.naver.com//news/news_read.naver?article_id=0002445950&office_id=030&mode=search&query=케티&page=5,하반기부터 도시민박·카셰어링 합법화된다
89,https://finance.naver.com//news/news_read.naver?article_id=0002445499&office_id=030&mode=search&query=케티&page=5,"소비자원, ‘빅데이터 사업단’ 신설해 핀테크·앱 부당거래 감시"
90,https://finance.naver.com//news/news_read.naver?article_id=0002445476&office_id=030&mode=search&query=케티&page=5,신한·KB이어 롯데도 `LG페이` 합류...화이트카드 IoT플랫폼으로 `진화`
91,https://finance.naver.com//news/news_read.naver?article_id=0002445440&office_id=030&mode=search&query=케티&page=5,각광받는 제약·바이오 산업…‘역지불합의’ 우려도 재부상
92,https://finance.naver.com//news/news_read.naver?article_id=0002445373&office_id=030&mode=search&query=케티&page=5,"설립 5년 이내 창업기업, 연대보증 면제한다"
93,https://finance.naver.com//news/news_read.naver?article_id=0002443015&office_id=030&mode=search&query=케티&page=5,"CJ오쇼핑, 말레이시아 진출···글로벌 홈쇼핑 시장 공략 박차"
94,https://finance.naver.com//news/news_read.naver?article_id=0002441131&office_id=030&mode=search&query=케티&page=5,4년간 지속된 비자-비씨카드 `결제망 분쟁`...과태료만 260만달러
95,https://finance.naver.com//news/news_read.naver?article_id=0003415567&office_id=018&mode=search&query=케티&page=5,"농구팬 71% “골든스테이트, 토론토에 완승 거둘 것”"
96,https://finance.naver.com//news/news_read.naver?article_id=0000109324&office_id=469&mode=search&query=케티&page=5,때아닌 ‘가을장마’에 희비 엇갈리는 레인부츠와 감귤
97,https://finance.naver.com//news/news_read.naver?article_id=0000299268&office_id=366&mode=search&query=케티&page=5,"[단독] 롯데케미칼, 美 에탄크래커 공장 건설 위해 20억달러 차입 추진"
98,https://finance.naver.com//news/news_read.naver?article_id=0000037719&office_id=050&mode=search&query=케티&page=5,3세대 유전자 치료제 시장 ‘성큼’
99,https://finance.naver.com//news/news_read.naver?article_id=0003195325&office_id=018&mode=search&query=케티&page=5,"""애플, 연내 차량용 OS 출시""…시총 1000兆 전망 나와"
100,https://finance.naver.com//news/news_read.naver?article_id=0003306998&office_id=009&mode=search&query=케티&page=6,"""피케티 강연, 슈퍼스타 내한공연 보는듯"""
101,https://finance.naver.com//news/news_read.naver?article_id=0000050403&office_id=374&mode=search&query=케티&page=6,글로벌증시 투심 위축…美기업 실적으로 숨통?
102,https://finance.naver.com//news/news_read.naver?article_id=0003104579&office_id=008&mode=search&query=케티&page=6,"예술위, 인도 현대 도예 전시회 열어"
103,https://finance.naver.com//news/news_read.naver?article_id=0002417383&office_id=112&mode=search&query=케티&page=6,"양적완화 출구전략 논란.. 미ㆍ일 양적완화 이어 ECB도 추가 금리인하 시사, I..."
104,https://finance.naver.com//news/news_read.naver?article_id=0002373792&office_id=112&mode=search&query=케티&page=6,"＜생생코스닥＞톱텍, 180억 사모 CB 발행+170억 3자배정 유상증자 결정"
105,https://finance.naver.com//news/news_read.naver?article_id=0002339710&office_id=020&mode=search&query=케티&page=6,"페라리-마세라티-람보르기니, 지진에 올스톱"
106,https://finance.naver.com//news/news_read.naver?article_id=0002604213&office_id=015&mode=search&query=케티&page=6,[Next Week 경제·경영 세미나] 12월 27일(화)~12월 28일(수)
107,https://finance.naver.com//news/news_read.naver?article_id=0002607574&office_id=008&mode=search&query=케티&page=6,사자와 위험한 '동거'.. 5주간 사자우리에서 생활해
