N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
164,LS ELECTRIC,"50,600","1,600",-3.07%,"5,000","15,180","30,000",12.11,"102,720",16.42,5.86,
165,KODEX 단기채권PLUS,"104,170",5,0.00%,0,"15,129","14,523",0.01,"2,354,453",N/A,N/A,
166,롯데칠성,"163,000","3,000",+1.88%,500,"15,125","9,279",12.20,"18,836",9.95,9.96,
167,동원시스템즈,"50,400",300,-0.59%,"5,000","14,612","28,991",13.18,"7,879",31.44,6.95,
168,JB금융지주,"7,370",90,+1.24%,"5,000","14,518","196,983",27.25,"166,642",2.65,12.80,
169,TIGER 미국테크TOP10 INDXX,"10,755",25,-0.23%,0,"14,277","132,750",0.12,"383,534",N/A,N/A,
170,TIGER 미국필라델피아반도체나스닥,"9,515",70,+0.74%,0,"14,277","150,050",0.18,"573,589",N/A,N/A,
171,대성홀딩스,"88,700",200,-0.22%,"1,000","14,271","16,089",3.86,"52,604",62.20,3.61,
172,TIGER CD금리투자KIS(합성),"51,200",5,+0.01%,0,"14,157","27,650",0.00,"4,158",N/A,N/A,
173,코오롱인더,"51,300",700,-1.35%,"5,000","14,117","27,519",17.65,"77,457",8.13,8.20,
174,DL,"66,500","1,100",-1.63%,"5,000","13,936","20,956",9.94,"29,746",8.95,26.52,
175,현대백화점,"58,300","2,300",-3.80%,"5,000","13,644","23,402",21.08,"163,345",6.38,4.36,
176,후성,"14,650",350,-2.33%,500,"13,567","92,607",5.43,"1,022,859",18.20,9.61,
177,일진하이솔루스,"37,300",850,-2.23%,500,"13,545","36,313",1.55,"68,058",151.63,4.97,
178,솔루스첨단소재,"38,500",100,+0.26%,100,"13,518","35,111",5.71,"90,390",172.65,4.00,
179,대덕전자,"27,350",50,-0.18%,500,"13,516","49,417",19.07,"283,361",10.62,9.55,
180,대웅,"22,900",500,-2.14%,500,"13,315","58,142",4.33,"22,252",11.81,11.13,
181,서울가스,"265,500","2,500",+0.95%,"5,000","13,275","5,000",4.06,"6,072",65.60,0.80,
182,동국제강,"13,750","1,400",-9.24%,"5,000","13,122","95,433",22.47,"1,464,991",1.66,23.41,
183,한국앤컴퍼니,"13,750",50,-0.36%,500,"13,054","94,935",9.26,"33,879",5.77,5.53,
184,효성티앤씨,"299,500","7,000",-2.28%,"5,000","12,961","4,328",9.68,"14,065",2.65,76.22,
185,KODEX 2차전지산업,"19,765",280,-1.40%,0,"12,946","65,500",0.35,"848,530",N/A,N/A,
186,한미반도체,"13,050",550,+4.40%,100,"12,909","98,920",5.13,"933,538",11.44,34.59,
187,롯데렌탈,"34,950",50,+0.14%,"5,000","12,804","36,634",4.85,"19,337",8.56,12.28,
188,두산,"77,400","6,700",-7.97%,"5,000","12,789","16,524",9.27,"220,454",-15.60,11.08,
189,TIGER 2차전지테마,"19,160",495,-2.52%,0,"12,531","65,400",0.22,"447,476",N/A,N/A,
190,KODEX 종합채권(AA-이상)액티브,"100,780",60,-0.06%,0,"12,527","12,430",0.00,"2,022",N/A,N/A,
191,DGB금융지주,"7,350",30,+0.41%,"5,000","12,432","169,146",46.47,"262,040",2.44,9.63,
192,롯데리츠,"5,050",30,-0.59%,500,"12,270","242,969",10.94,"98,738",64.74,1.65,
193,영풍,"662,000","7,000",-1.05%,"5,000","12,194","1,842",3.90,"1,019",6.81,3.66,
194,롯데제과,"129,000",500,+0.39%,500,"12,171","9,435",14.39,"3,929",25.05,2.88,
195,KODEX 단기채권,"103,755",5,0.00%,0,"12,136","11,697",0.55,"60,576",N/A,N/A,
196,ESR켄달스퀘어리츠,"5,590",70,-1.24%,"1,000","11,912","213,089",52.66,"125,393",38.29,3.24,
197,명신산업,"22,700",100,+0.44%,500,"11,911","52,470",2.07,"326,740",22.15,18.85,
198,신풍제약,"22,350",400,-1.76%,500,"11,842","52,985",5.67,"227,708",-52.84,-3.19,
199,TIGER MSCI Korea TR,"12,580",55,-0.44%,0,"11,649","92,600",4.75,"3,299",N/A,N/A,
200,한샘,"48,700",750,-1.52%,"1,000","11,461","23,534",13.88,"38,673",37.46,9.10,
